state,expansion_pop,sq_identified,imp_identified,additional_identified,coverage_losses_averted,sensitivity_gain_pp,gap_reduction_pp
FL,2530000,382536,985435,602899,40394,23.83,1.57
TX,3400000,826880,1324300,497420,33327,14.63,5.75
CA,8030000,3538821,3903383,364562,24425,4.54,4.75
AZ,1210000,182952,471295,288343,19318,23.83,1.57
NY,4200000,1917300,2086140,168840,11312,4.02,6.57
TN,780000,150071,303810,153738,10300,19.71,4.34
GA,1403000,447276,591083,143807,9635,10.25,4.52
MI,1010000,335118,473185,138067,9250,13.67,2.88
LA,1030000,302923,433939,131016,8778,12.72,2.58
IN,902000,314437,438462,124025,8309,13.76,5.04
OK,620000,156487,261206,104718,7016,16.89,3.67
KY,814000,259503,342938,83435,5590,10.25,4.52
AR,512600,158547,232054,73506,4924,14.34,2.73
NC,1400000,550760,619360,68599,4596,4.89,2.59
OH,1200000,446880,505560,58680,3931,4.9,2.58
WI,850000,374595,413185,38590,2585,4.54,4.75
MT,82000,33103,37121,4018,269,4.9,2.64
