Analysis,Cohort_g,Period_t,Relative_Time,ATT_pp,SE,CI_Lower,CI_Upper,p_value,Notes
Aggregate_ATT,All,All_post,All,1.24,0.22,0.80,1.68,<0.001,Primary causal estimate
Pre_treatment_diagnostic,All,All_pre,All,-0.023,0.202,-0.42,0.37,0.910,Parallel trends test
g2023_t2023,GA_NC,2023,0,1.53,0.68,0.20,2.86,0.024,7 pre-treatment periods
g2023_t2024,GA_NC,2024,1,1.61,0.80,0.05,3.18,0.044,7 pre-treatment periods
g2018_t2018,AR_IN,2018,0,2.17,0.84,0.52,3.82,0.010,2 pre-treatment periods
g2018_t2019,AR_IN,2019,1,1.84,0.88,0.12,3.57,0.037,2 pre-treatment periods
g2018_t2020,AR_IN,2020,2,0.98,1.29,-1.56,3.51,0.451,AR suspended March 2019
SCM_Georgia,GA,2023,Post,3.41,NA,NA,NA,p=0.182,Synthetic control; permutation inference
SCM_Montana,MT,2019,Post,1.49,NA,NA,NA,p=0.364,Synthetic control; permutation inference
SCM_Arkansas,AR,2018,Post,0.47,NA,NA,NA,p=0.818,Not distinguishable from placebo
