icd10_domain,specialty_name,n_providers,total_claims,total_beneficiaries,mean_claims_per_provider,pct_of_providers,pct_of_claims
other,Other Specialty,3338,1758521,1576625,526.8187537447574,40.73,47.44
general,Pediatrics,657,460598,413106,701.062404870624,8.02,12.43
general,Family Medicine,1165,425462,365642,365.2034334763949,14.22,11.48
general,Internal Medicine,1074,322507,283408,300.2858472998138,13.11,8.7
general,General Practice,79,79039,71294,1000.493670886076,0.96,2.13
I00-I99,Cardiovascular Disease,311,76450,70181,245.81993569131834,3.79,2.06
N00-N99,Nephrology,264,76161,67155,288.4886363636364,3.22,2.05
N00-N99,Urology,175,68368,61406,390.6742857142857,2.14,1.84
general,Dermatology,69,60004,54590,869.6231884057971,0.84,1.62
G10-G99,Neurology,183,51415,47224,280.95628415300547,2.23,1.39
F20-F48,Clinical Social Worker,31,45588,40891,1470.5806451612902,0.38,1.23
M00-M99,Rheumatology,143,42386,39660,296.4055944055944,1.74,1.14
E00-E90,Endocrinology,154,41133,37295,267.0974025974026,1.88,1.11
general,Nurse Practitioner,82,37505,33418,457.3780487804878,1.0,1.01
M00-M99,Orthopaedic Surgery,31,33891,31023,1093.258064516129,0.38,0.91
F20-F48,Psychiatry,56,23327,20902,416.55357142857144,0.68,0.63
general,Physician Assistant,64,18693,17410,292.078125,0.78,0.5
F20-F48,Psychologist,37,15929,14265,430.5135135135135,0.45,0.43
general,Geriatric Medicine,55,14530,13483,264.1818181818182,0.67,0.39
J00-J99,Pulmonology,60,9413,8708,156.88333333333333,0.73,0.25
F20-F48,Child Psychiatry,11,8652,8054,786.5454545454545,0.13,0.23
M00-M99,Physical Medicine/Rehab,15,7205,6169,480.3333333333333,0.18,0.19
C00-D49,Medical Oncology,30,6720,5770,224.0,0.37,0.18
C00-D49,Radiation Oncology,24,5576,5189,232.33333333333334,0.29,0.15
I00-I99,Interventional Cardiology,32,5574,5031,174.1875,0.39,0.15
G10-G99,Neurology (Child),17,4817,4598,283.3529411764706,0.21,0.13
general,Gastroenterology,23,3530,3112,153.47826086956522,0.28,0.1
F20-F48,Counselor,8,2858,2690,357.25,0.1,0.08
F10-F19,Substance Use Program,4,439,249,109.75,0.05,0.01
C00-D49,Surgical Oncology,1,298,137,298.0,0.01,0.01
F10-F19,Addiction Medicine,1,74,40,74.0,0.01,0.0
F20-F48,Geriatric Psychiatry,1,12,12,12.0,0.01,0.0
