State,WR Status,Stringency Score (0-10),ADL Threshold,Physician Cert. Required,Full Ex Parte,HIE Integration,CFI Algorithm,Overall Exempt %,Racial Gap (pp)
Florida,pending,2.4,2,Yes,No,No,No,8.3,4.5
Arizona,pending,2.8,2,Yes,No,No,No,9.8,4.5
Tennessee,pending,3.2,1,Yes,No,No,No,9.4,4.500000000000001
Texas,pending,3.5,1,Yes,No,No,No,10.2,4.8
Arkansas,terminated,3.8,1,No,Yes,No,No,8.0,4.6000000000000005
Oklahoma,pending,4.1,1,Yes,No,No,No,11.8,4.299999999999999
Georgia,active,4.2,1,Yes,No,No,No,12.4,6.200000000000001
Louisiana,pending,4.8,1,No,No,No,No,13.7,6.600000000000001
Kentucky,blocked,5.0,1,Yes,No,No,No,14.1,5.399999999999999
Ohio,pending,5.3,1,No,No,No,No,15.9,5.5
Indiana,active,5.8,1,No,Yes,Yes,No,24.0,6.300000000000001
Michigan,blocked,5.9,1,No,Yes,No,Yes,17.2,5.200000000000001
North Carolina,active,6.0,1,No,No,Yes,No,16.4,4.300000000000001
Montana,active,6.1,1,No,Yes,No,No,8.0,
Wisconsin,blocked,6.4,1,No,Yes,Yes,No,18.6,5.5
New York,none,8.4,1,No,Yes,Yes,No,24.1,3.3999999999999986
California,none,8.9,1,No,Yes,Yes,No,26.8,2.299999999999997
