state,state_name,wr_status,stringency_score,expansion_pop_est,black_expansion_est,white_expansion_est,disability_black,disability_white,disability_gap_black_white,exempt_pct_black,exempt_pct_white,racial_gap_pp,estimated_coverage_losses,excess_loss_black,algorithmic_penalty
GA,Georgia,active,4.2,1402500,633930,408128,35.6,28.1,-7.3600000000000065,9.1,15.3,6.200000000000001,82316,39304.0,-13.560000000000008
FL,Florida,pending,2.4,2530000,710930,695750,34.1,27.9,-7.829999999999998,5.9,10.4,4.5,155441,31992.0,-12.329999999999998
LA,Louisiana,pending,4.8,957000,464145,326337,37.8,31.2,-9.290000000000006,10.2,16.8,6.600000000000001,55335,30634.0,-15.890000000000008
OH,Ohio,pending,5.3,1661000,453453,955075,36.8,29.4,-9.57,12.3,17.8,5.5,93592,24940.0,-15.07
NC,North Carolina,active,6.0,1512500,474925,609537,34.8,28.1,-5.109999999999999,13.8,18.1,4.300000000000001,84718,20422.0,-9.41
MI,Michigan,blocked,5.9,1490500,381568,816794,36.1,28.9,-0.3399999999999963,13.9,19.1,5.200000000000001,82687,19842.0,-5.539999999999997
TX,Texas,pending,3.5,2475000,405900,301950,33.9,27.4,-2.259999999999998,7.8,12.6,4.8,148911,19483.0,-7.059999999999998
TN,Tennessee,pending,3.2,858000,243672,489060,38.9,32.4,-3.780000000000001,6.8,11.3,4.500000000000001,52082,10965.0,-8.280000000000001
IN,Indiana,active,5.8,902000,151536,574574,36.4,29.8,2.25,19.8,26.1,6.300000000000001,45930,9547.0,-4.050000000000001
WI,Wisconsin,blocked,6.4,671000,120109,370392,35.9,27.4,1.7199999999999989,14.7,20.2,5.5,36595,6606.0,-3.780000000000001
KY,Kentucky,blocked,5.0,814000,108262,608872,40.2,34.1,-4.400000000000006,10.8,16.2,5.399999999999999,46848,5846.0,-9.800000000000004
AZ,Arizona,pending,2.8,1210000,70180,331540,32.8,29.1,-17.89,7.4,11.9,4.5,73125,3158.0,-22.39
