state,state_name,wr_status,stringency_score,expansion_pop_est,black_expansion_est,white_expansion_est,disability_black,disability_white,disability_gap_black_white,exempt_pct_black,exempt_pct_white,racial_gap_pp,estimated_coverage_losses,excess_loss_black,algorithmic_penalty
GA,Georgia,active,4.2,1402500,633930,408128,35.6,28.1,7.5,9.1,15.3,6.200000000000001,82316,39304.0,1.299999999999999
FL,Florida,pending,2.4,2530000,710930,695750,34.1,27.9,6.200000000000003,5.9,10.4,4.5,155441,31992.0,1.7000000000000028
LA,Louisiana,pending,4.8,957000,464145,326337,37.8,31.2,6.599999999999998,10.2,16.8,6.600000000000001,55335,30634.0,-3.552713678800501e-15
OH,Ohio,pending,5.3,1661000,453453,955075,36.8,29.4,7.399999999999999,12.3,17.8,5.5,93592,24940.0,1.8999999999999986
NC,North Carolina,active,6.0,1512500,474925,609537,34.8,28.1,6.699999999999996,13.8,18.1,4.300000000000001,84718,20422.0,2.399999999999995
MI,Michigan,blocked,5.9,1490500,381568,816794,36.1,28.9,7.200000000000003,13.9,19.1,5.200000000000001,82687,19842.0,2.0000000000000018
TX,Texas,pending,3.5,2475000,405900,301950,33.9,27.4,6.5,7.8,12.6,4.8,148911,19483.0,1.7000000000000002
TN,Tennessee,pending,3.2,858000,243672,489060,38.9,32.4,6.5,6.8,11.3,4.500000000000001,52082,10965.0,1.9999999999999991
IN,Indiana,active,5.8,902000,151536,574574,36.4,29.8,6.599999999999998,13.1,18.4,5.299999999999999,50342,8031.0,1.299999999999999
WI,Wisconsin,blocked,6.4,671000,120109,370392,35.9,27.4,8.5,14.7,20.2,5.5,36595,6606.0,3.0
KY,Kentucky,blocked,5.0,814000,108262,608872,40.2,34.1,6.100000000000001,10.8,16.2,5.399999999999999,46848,5846.0,0.7000000000000028
AZ,Arizona,pending,2.8,1210000,70180,331540,32.8,29.1,3.6999999999999957,7.4,11.9,4.5,73125,3158.0,-0.8000000000000043
